ue_id,use_case,imsi,ipv4,pfcp_seid,5gmm_state,pdu_session_state,dl_sinr_db,rsrp_dbm,dl_bler_pct,ul_bler_pct,mcs_dl,harq_errors,amf_to_smf_pdu_session_processing_latency_ms,end_to_end_bearer_establishment_latency_ms,process_rss_mb,notes
1,mMTC,208950000000031,12.1.1.149,0x4,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",704.0,
2,mMTC,208950000000032,12.1.1.150,0x5,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,6.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
3,mMTC,208950000000033,12.1.1.151,0x6,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
4,mMTC,208950000000034,12.1.1.152,0x7,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,7.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
5,Web,208950000000035,12.1.1.153,0x8,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,5.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
6,Mobile,208950000000036,12.1.1.154,0x9,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,5.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
7,VoD,208950000000037,12.1.1.155,0xa,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,4.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
8,Live video,208950000000038,12.1.1.156,0xb,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,6.0,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
9,mMTC,208950000000039,12.1.1.157,0xc,REGISTERED,Established,not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,6.3,"NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",702.4,
10,mMTC,208950000000040,N/A - no PDU session established,N/A - N4 session never created,REGISTERED,"STALLED - request received by SMF, never progressed to N4 Session Establishment",not sampled post-stall (health gate failed before traffic phase),not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,not sampled post-stall,"STALLED - AMF sent request, SMF never dispatched an Accept/Reject","NOT_MEASURABLE (UE logs untimestamped, DU stdout inaccessible)",692.8,health gate FAILED for this UE -- traffic phase was not started for any UE as a result
