ue_id,use_case,offered_load,packet_rate,traffic_volume,application_throughput,note
1,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
2,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
3,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
4,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
5,Web,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
6,Mobile,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
7,VoD,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
8,Live video,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
9,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
10,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
11,mMTC,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
12,Web,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
13,Mobile,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
14,VoD,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
15,Live video,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
16,V2X,N/A,N/A,N/A,N/A,"traffic phase was not started -- 16-UE health gate failed (only 9/16 PDU sessions established), per instructions traffic is only run after all UEs pass the health gate"
