ue_id,imsi,amf_to_smf_pdu_session_processing_latency_ms,end_to_end_bearer_establishment_latency_ms,note
1,208950000000031,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
2,208950000000032,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
3,208950000000033,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
4,208950000000034,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
5,208950000000035,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
6,208950000000036,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
7,208950000000037,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
8,208950000000038,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
9,208950000000039,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
10,208950000000040,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
11,208950000000041,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
12,208950000000042,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
13,208950000000043,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
14,208950000000044,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
15,208950000000045,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
16,208950000000046,N/A_not_yet_computed,N/A_not_yet_computed,"latency computation deferred pending health-gate pass; this retry stopped at the health-gate stage per instructions, not yet computed for either UE1-12 (succeeded) or UE13-16 (stalled)"
