ue_id,use_case,offered_load,packet_rate,traffic_volume,application_throughput,note
1,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
2,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
3,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
4,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
5,Web,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
6,Mobile,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
7,VoD,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
8,Live video,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
9,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
10,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
11,mMTC,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
12,Web,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
13,Mobile,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
14,VoD,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
15,Live video,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
16,V2X,N/A,N/A,N/A,N/A,"traffic phase not started -- health gate failed (12/16 PDU sessions, not 16/16)"
