ue_id,imsi,use_case,ip_address,traffic_method,sinr_db,rsrp_dbm,bler_pct,mcs,ul_harq_errors,dl_harq_errors,rrc_state,packets_or_datagrams_sent,payload_bytes_sent,loss_pct,rtt_avg_ms,jitter_or_mdev_ms,throughput_bps,notes
1,208950000000031,mMTC,12.1.1.130,ping(ICMP 50B/1s),42.6,-42,0(cumulative),NOT_LOGGED,7181/0,801/0,RRC_CONNECTED,50,3900,0,109.812,31.349,635.8,"BLER/HARQ-err counts are cumulative since UE launch, not isolated to the 71s traffic window"
2,208950000000032,mMTC,12.1.1.131,ping(ICMP 50B/1s),43.3,-42,0(cumulative),NOT_LOGGED,4236/0,567/0,RRC_CONNECTED,50,3900,0,107.275,24.799,635.9,"same as above"
3,208950000000033,mMTC,12.1.1.132,ping(ICMP 50B/1s),42.6,-42,0(cumulative),NOT_LOGGED,3664/0,559/0,RRC_CONNECTED,50,3900,0,104.472,26.504,635.8,"same as above"
4,208950000000034,mMTC,12.1.1.133,ping(ICMP 50B/1s),44.1,-42,0(cumulative),NOT_LOGGED,7681/0,560/0,RRC_CONNECTED,50,3900,0,110.167,31.164,635.9,"same as above"
9,208950000000039,mMTC,12.1.1.138,ping(ICMP 50B/1s),44.1,-42,0(cumulative),NOT_LOGGED,5552/0,544/0,RRC_CONNECTED,50,3900,0,108.354,29.511,635.6,"same as above"
10,208950000000040,mMTC,12.1.1.139,ping(ICMP 50B/1s),44.1,-42,0(cumulative),NOT_LOGGED,5878/0,544/0,RRC_CONNECTED,50,3900,0,114.168,33.636,635.8,"same as above"
11,208950000000041,mMTC,12.1.1.140,ping(ICMP 50B/1s),42.6,-42,0(cumulative),NOT_LOGGED,4924/0,546/0,RRC_CONNECTED,50,3900,0,96.558,26.452,635.8,"same as above"
5,208950000000035,Web,12.1.1.134,"FALLBACK: ping(ICMP 56B default,20 pkts) -- NO HTTP/app server exists on ext-dn; not real HTTP traffic",42.6,-42,0(cumulative),NOT_LOGGED,9659/0,524/0,RRC_CONNECTED,20,1680,0,85.952,39.457,706.5,"ping fallback, see README limitations"
12,208950000000042,Web,12.1.1.141,"FALLBACK: ping(ICMP 56B default,20 pkts) -- NO HTTP/app server exists on ext-dn; not real HTTP traffic",43.3,-42,0(cumulative),NOT_LOGGED,4036/0,511/0,RRC_CONNECTED,20,1680,0,112.810,31.210,706.6,"ping fallback, see README limitations"
6,208950000000036,Mobile,12.1.1.135,"FALLBACK: ping(ICMP 56B default,20 pkts) -- not a real mobile-app traffic model",45.1,-42,0(cumulative),NOT_LOGGED,4437/0,519/0,RRC_CONNECTED,20,1680,0,113.793,39.382,706.6,"ping fallback, see README limitations"
13,208950000000043,Mobile,12.1.1.142,"FALLBACK: ping(ICMP 56B default,20 pkts) -- not a real mobile-app traffic model",43.3,-42,0(cumulative),NOT_LOGGED,3896/0,510/0,RRC_CONNECTED,20,1680,0,107.583,25.920,706.7,"ping fallback, see README limitations"
7,208950000000037,VoD,12.1.1.136,iperf3 UDP 8Mbps/30s,43.3,-42,0(cumulative),NOT_LOGGED,17604/0,1123/0,RRC_CONNECTED,20717(sender-reported datagrams),29989274,NOT_MEASURABLE(receiver report lost),NOT_MEASURABLE,0.000(placeholder-not real,see notes),8000000,"iperf3 control socket closed before server returned receiver-side report (0 Bytes/0.000ms on receiver line is a placeholder, NOT a measured 0). True delivered throughput/loss/jitter NOT_MEASURABLE with this run; only sender-side offered rate is confirmed."
14,208950000000044,VoD,12.1.1.143,iperf3 UDP 8Mbps/30s,42.6,-42,0(cumulative),NOT_LOGGED,15700/0,1073/0,RRC_CONNECTED,20718(sender-reported datagrams),29989274,NOT_MEASURABLE(receiver report lost),NOT_MEASURABLE,0.000(placeholder-not real,see notes),8000000,"same limitation as ue7"
8,208950000000038,LiveVideo,12.1.1.137,iperf3 UDP 4Mbps/30s,43.3,-42,0(cumulative),NOT_LOGGED,12215/0,854/0,RRC_CONNECTED,10359(sender-reported datagrams),14997586,NOT_MEASURABLE(receiver report lost),NOT_MEASURABLE,0.000(placeholder-not real,see notes),4000000,"same limitation as ue7"
15,208950000000045,LiveVideo,12.1.1.144,iperf3 UDP 4Mbps/30s,43.3,-42,0(cumulative),NOT_LOGGED,13041/0,819/0,RRC_CONNECTED,10359(sender-reported datagrams),14997586,NOT_MEASURABLE(receiver report lost),NOT_MEASURABLE,0.000(placeholder-not real,see notes),4000000,"same limitation as ue7"
16,208950000000046,V2X,12.1.1.145,ping(ICMP 128B/10ms interval),45.1,-42,0(cumulative),NOT_LOGGED,3832/0,554/0,RRC_CONNECTED,100,15600,0,300.427,143.369,124731.9,"rtt avg (300.4ms) and mdev (143.4ms) are HIGHER than all other profiles despite being the intended low-latency profile; ping itself reported 'pipe 34' (34 unacked probes in flight) because the requested 10ms send interval was faster than the achieved ~300ms RTT under 16-UE concurrent-flow contention -- reported as-is, not adjusted"
